trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
98,False,"{'a': 0.15, 'e': 0.4099999999999996}",20,0,-63.88105312636984,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
99,False,"{'a': 0.15, 'e': 0.4049999999999996}",25,2,-44.246828232242564,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 0}",1
100,False,"{'a': 0.15, 'e': 0.3999999999999996}",25,0,14.632287192006542,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
101,False,"{'a': 0.15, 'e': 0.3949999999999996}",30,0,-17.361878191512595,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
102,False,"{'a': 0.15, 'e': 0.38999999999999957}",30,0,-54.50880016848835,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
103,False,"{'a': 0.15, 'e': 0.38499999999999956}",30,6,-82.59817519001588,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 1}",1
104,False,"{'a': 0.15, 'e': 0.37999999999999956}",20,4,-37.70780920742681,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
105,False,"{'a': 0.15, 'e': 0.37499999999999956}",20,8,15.60720204259057,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.15, 'e': 0.36999999999999955}",25,16,16.054707441797433,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.15, 'e': 0.36499999999999955}",25,1,-50.759940484419374,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 1}",1
108,False,"{'a': 0.15, 'e': 0.35999999999999954}",20,4,21.32890400311297,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.15, 'e': 0.35499999999999954}",25,19,9.465196264300886,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.15, 'e': 0.34999999999999953}",20,13,-16.576789726651825,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.15, 'e': 0.34499999999999953}",30,4,28.866821958614928,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.15, 'e': 0.3399999999999995}",35,23,5.808053951760513,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.15, 'e': 0.3349999999999995}",20,10,8.271703583744223,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.15, 'e': 0.3299999999999995}",30,13,-23.788350878573638,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.15, 'e': 0.3249999999999995}",30,20,14.999737374883567,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.15, 'e': 0.3199999999999995}",20,9,22.890879462766172,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.15, 'e': 0.3149999999999995}",20,12,10.540167479220925,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.15, 'e': 0.3099999999999995}",20,2,8.104369506676008,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.15, 'e': 0.3049999999999995}",20,0,-20.381846451173132,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
120,False,"{'a': 0.15, 'e': 0.2999999999999995}",25,18,4.303295778130211,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.15, 'e': 0.2949999999999995}",20,12,-13.667631176541706,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
122,False,"{'a': 0.15, 'e': 0.2899999999999995}",35,17,-51.29859685256073,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
123,False,"{'a': 0.15, 'e': 0.2849999999999995}",20,4,17.636944091878515,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
